population,tier,case,p_m,defense_avoided,form,revenue_yr,energy_yr,fixed_yr,premium_yr,residual_el_yr,net_cession_yr,crossover_rent_yr,crossover_rate_tflops_hr,obs_over_crossover
enterprise,entry_1660_2060,case3_hw_partition,0.001,0.0,uninsured,123.0,283.9,17.95,0.11,0.26,-179.1,302.1,0.00479,0.46
enterprise,entry_1660_2060,case3_hw_partition,0.001,100.0,insured,123.0,283.9,17.95,0.11,0.0,-78.9,201.9,0.0032,0.68
enterprise,entry_1660_2060,case3_hw_partition,0.001,100.0,uninsured,123.0,283.9,17.95,0.11,0.26,-79.1,202.1,0.0032,0.68
enterprise,entry_1660_2060,case3_hw_partition,0.01,0.0,insured,123.0,283.9,17.95,1.15,0.0,-180.0,303.0,0.0048,0.45
enterprise,entry_1660_2060,case3_hw_partition,0.01,0.0,uninsured,123.0,283.9,17.95,1.15,2.55,-181.4,304.4,0.00483,0.45
enterprise,entry_1660_2060,case3_hw_partition,0.01,100.0,insured,123.0,283.9,17.95,1.15,0.0,-80.0,203.0,0.00322,0.68
enterprise,entry_1660_2060,case3_hw_partition,0.01,100.0,uninsured,123.0,283.9,17.95,1.15,2.55,-81.4,204.4,0.00324,0.67
enterprise,entry_1660_2060,case4_new_silicon,1e-05,0.0,insured,123.0,283.9,19.75,0.0,0.0,-180.6,303.6,0.00481,0.45
enterprise,entry_1660_2060,case4_new_silicon,1e-05,0.0,uninsured,123.0,283.9,19.75,0.0,0.0,-180.6,303.6,0.00481,0.45
enterprise,entry_1660_2060,case4_new_silicon,1e-05,100.0,insured,123.0,283.9,19.75,0.0,0.0,-80.6,203.6,0.00323,0.68
enterprise,entry_1660_2060,case4_new_silicon,1e-05,100.0,uninsured,123.0,283.9,19.75,0.0,0.0,-80.6,203.6,0.00323,0.68
enterprise,entry_1660_2060,case4_new_silicon,0.001,0.0,insured,123.0,283.9,19.75,0.11,0.0,-180.7,303.7,0.00482,0.45
enterprise,entry_1660_2060,case4_new_silicon,0.001,0.0,uninsured,123.0,283.9,19.75,0.11,0.26,-180.9,303.9,0.00482,0.45
enterprise,entry_1660_2060,case4_new_silicon,0.001,100.0,insured,123.0,283.9,19.75,0.11,0.0,-80.7,203.7,0.00323,0.67
enterprise,entry_1660_2060,case4_new_silicon,0.001,100.0,uninsured,123.0,283.9,19.75,0.11,0.26,-80.9,203.9,0.00323,0.67
enterprise,entry_1660_2060,case4_new_silicon,0.01,0.0,insured,123.0,283.9,19.75,1.15,0.0,-181.8,304.8,0.00483,0.45
enterprise,entry_1660_2060,case4_new_silicon,0.01,0.0,uninsured,123.0,283.9,19.75,1.15,2.55,-183.2,306.2,0.00485,0.45
enterprise,entry_1660_2060,case4_new_silicon,0.01,100.0,insured,123.0,283.9,19.75,1.15,0.0,-81.8,204.8,0.00325,0.67
enterprise,entry_1660_2060,case4_new_silicon,0.01,100.0,uninsured,123.0,283.9,19.75,1.15,2.55,-83.2,206.2,0.00327,0.67
enterprise,mid_3090,case1_sameOS,1e-05,0.0,insured,596.0,501.3,8.5,1.28,0.0,84.9,511.1,0.00164,1.33
enterprise,mid_3090,case1_sameOS,1e-05,0.0,uninsured,596.0,501.3,8.5,1.28,4.83,81.3,514.7,0.00165,1.32
enterprise,mid_3090,case1_sameOS,1e-05,100.0,insured,596.0,501.3,8.5,1.28,0.0,184.9,411.1,0.00132,1.65
enterprise,mid_3090,case1_sameOS,1e-05,100.0,uninsured,596.0,501.3,8.5,1.28,4.83,181.3,414.7,0.00133,1.64
enterprise,mid_3090,case1_sameOS,0.001,0.0,insured,596.0,501.3,8.5,127.69,0.0,-41.5,637.5,0.00204,1.07
enterprise,mid_3090,case1_sameOS,0.001,0.0,uninsured,596.0,501.3,8.5,127.69,285.0,-198.8,794.8,0.00255,0.86
enterprise,mid_3090,case1_sameOS,0.001,100.0,insured,596.0,501.3,8.5,127.69,0.0,58.5,537.5,0.00172,1.26
enterprise,mid_3090,case1_sameOS,0.001,100.0,uninsured,596.0,501.3,8.5,127.69,285.0,-98.8,694.8,0.00223,0.98
enterprise,mid_3090,case1_sameOS,0.01,0.0,insured,596.0,501.3,8.5,1276.92,0.0,-1190.7,1786.7,0.00573,0.38
enterprise,mid_3090,case1_sameOS,0.01,0.0,uninsured,596.0,501.3,8.5,1276.92,2832.0,-2745.8,3341.8,0.01072,0.2
enterprise,mid_3090,case1_sameOS,0.01,100.0,insured,596.0,501.3,8.5,1276.92,0.0,-1090.7,1686.7,0.00541,0.4
enterprise,mid_3090,case1_sameOS,0.01,100.0,uninsured,596.0,501.3,8.5,1276.92,2832.0,-2645.8,3241.8,0.0104,0.21
enterprise,mid_3090,case2_vm_nic,1e-05,0.0,insured,596.0,501.3,57.75,0.01,0.0,36.9,559.1,0.00179,1.22
enterprise,mid_3090,case2_vm_nic,1e-05,0.0,uninsured,596.0,501.3,57.75,0.01,0.05,36.9,559.1,0.00179,1.22
enterprise,mid_3090,case2_vm_nic,1e-05,100.0,insured,596.0,501.3,57.75,0.01,0.0,136.9,459.1,0.00147,1.48
enterprise,mid_3090,case2_vm_nic,1e-05,100.0,uninsured,596.0,501.3,57.75,0.01,0.05,136.9,459.1,0.00147,1.48
enterprise,mid_3090,case2_vm_nic,0.001,0.0,insured,596.0,501.3,57.75,1.28,0.0,35.7,560.3,0.0018,1.21
enterprise,mid_3090,case2_vm_nic,0.001,0.0,uninsured,596.0,501.3,57.75,1.28,2.85,34.1,561.9,0.0018,1.21
enterprise,mid_3090,case2_vm_nic,0.001,100.0,insured,596.0,501.3,57.75,1.28,0.0,135.7,460.3,0.00148,1.48
enterprise,mid_3090,case2_vm_nic,0.001,100.0,uninsured,596.0,501.3,57.75,1.28,2.85,134.1,461.9,0.00148,1.47
enterprise,mid_3090,case2_vm_nic,0.01,0.0,insured,596.0,501.3,57.75,12.77,0.0,24.2,571.8,0.00183,1.19
enterprise,mid_3090,case2_vm_nic,0.01,0.0,uninsured,596.0,501.3,57.75,12.77,28.32,8.6,587.4,0.00188,1.16
enterprise,mid_3090,case2_vm_nic,0.01,100.0,insured,596.0,501.3,57.75,12.77,0.0,124.2,471.8,0.00151,1.44
enterprise,mid_3090,case2_vm_nic,0.01,100.0,uninsured,596.0,501.3,57.75,12.77,28.32,108.6,487.4,0.00156,1.39
enterprise,mid_3090,case3_hw_partition,1e-05,0.0,insured,596.0,501.3,17.95,0.0,0.0,76.7,519.3,0.00167,1.31
enterprise,mid_3090,case3_hw_partition,1e-05,0.0,uninsured,596.0,501.3,17.95,0.0,0.0,76.7,519.3,0.00167,1.31
enterprise,mid_3090,case3_hw_partition,1e-05,100.0,insured,596.0,501.3,17.95,0.0,0.0,176.7,419.3,0.00134,1.62
enterprise,mid_3090,case3_hw_partition,1e-05,100.0,uninsured,596.0,501.3,17.95,0.0,0.0,176.7,419.3,0.00134,1.62
enterprise,mid_3090,case3_hw_partition,0.001,0.0,insured,596.0,501.3,17.95,0.11,0.0,76.6,519.4,0.00167,1.31
enterprise,mid_3090,case3_hw_partition,0.001,0.0,uninsured,596.0,501.3,17.95,0.11,0.26,76.5,519.5,0.00167,1.31
enterprise,mid_3090,case3_hw_partition,0.001,100.0,insured,596.0,501.3,17.95,0.11,0.0,176.6,419.4,0.00134,1.62
