seg,stratum,p3,p4,p3_frac_ai,p4_frac_ai,changed
nb_2025-11-06#t805w4,A-consensus-2025,Human,Human,0.0,0.0,0
nb_2025-11-06#t835w0,A2-fastdetect-tail,Human,Human,0.0,0.0,0
nb_2025-11-06#t835w1,A4-speaker,Human,Human,0.0,0.0,0
nb_2025-11-06#t835w4,A4-speaker,Human,Human,0.0,0.0,0
nb_2025-11-06#t836w0,B-decile-2,Human,Human,0.0,0.0,0
nb_2025-11-07#t858w0,A3-fused,Human,Human,0.0,0.0,0
nb_2025-11-07#t896w0,B-decile-0,Human,Human,0.0,0.0,0
nb_2025-11-07#t907w0,A5-tail-union,Human,Human,0.0,0.0,0
nb_2025-11-07#t912w0,A3-fused,Human,Human,0.0,0.0,0
nb_2025-11-07#t914w0,B-decile-7,Human,Human,0.0,0.0,0
nb_2025-11-07#t915w0,B-decile-0,Human,Human,0.0,0.0,0
nb_2025-11-18#t1002w0,B-decile-8,Human,Human,0.0,0.0,0
nb_2025-11-18#t1014w2,B-decile-5,Human,Human,0.0,0.0,0
nb_2025-11-18#t1017w3,A2-fastdetect-tail,AI,AI,1.0,1.0,0
nb_2025-11-18#t1018w1,A5-tail-union,Human,Human,0.0,0.0,0
nb_2025-11-18#t922w0,A-consensus-2025,Human,AI,0.0,1.0,1
nb_2025-11-18#t938w0,A5-tail-union,Human,Human,0.0,0.0,0
nb_2025-11-18#t951w0,A5-tail-union,Human,Human,0.0,0.0,0
nb_2025-11-18#t954w0,A5-tail-union,Human,Human,0.0,0.0,0
nb_2025-11-20#t1098w0,A3-fused,Human,Mixed,0.0,0.2379286140203476,1
nb_2025-11-20#t1101w0,A3-fused,AI,AI,1.0,1.0,0
nb_2025-11-20#t1126w0,A5-tail-union,Human,Human,0.0,0.0,0
nb_2025-11-20#t1192w1,A2-fastdetect-tail,Human,Human,0.0,0.0,0
nb_2025-11-20#t1208w2,A4-speaker,Human,Human,0.0,0.0,0
nb_2025-11-20#t1215w1,B-decile-7,Human,Human,0.0,0.0,0
nb_2025-11-21#t1245w0,A5-tail-union,Human,Human,0.0,0.0,0
nb_2025-11-21#t1255w0,B-decile-9,Human,Human,0.0,0.0,0
nb_2025-11-21#t1269w0,B-decile-6,Human,Human,0.0,0.0,0
nb_2025-11-21#t1271w0,B-decile-2,Human,Human,0.0,0.0,0
nb_2025-11-21#t1276w0,B-decile-7,Human,Human,0.0,0.0,0
nb_2025-11-21#t1281w1,A3-fused,Human,Human,0.0,0.0,0
nb_2025-12-02#t1316w0,B-decile-4,Human,Human,0.0,0.0,0
nb_2025-12-02#t1317w0,B-decile-4,Human,Human,0.0,0.0,0
nb_2025-12-02#t1333w0,A-consensus-2025,Human,Human,0.0,0.0,0
nb_2025-12-02#t1342w0,B-decile-8,Human,Human,0.0,0.0,0
nb_2025-12-02#t1358w0,A5-tail-union,Human,Human,0.0,0.0,0
nb_2025-12-02#t1365w0,A-consensus-2025,AI,AI,1.0,1.0,0
nb_2025-12-02#t1369w3,B-decile-6,Human,Human,0.0,0.0,0
nb_2025-12-02#t1374w0,A5-tail-union,Human,Human,0.0,0.0,0
nb_2025-12-03#t1386w0,A3-fused,Human,Human,0.0,0.0,0
nb_2025-12-03#t1388w0,A5-tail-union,Human,Human,0.0,0.0,0
nb_2025-12-03#t1390w0,A5-tail-union,Human,Human,0.0,0.0,0
nb_2025-12-03#t1396w0,A5-tail-union,AI,AI,1.0,1.0,0
nb_2025-12-03#t1430w0,B-decile-2,Human,Human,0.0,0.0,0
nb_2025-12-03#t1439w0,A5-tail-union,Human,Human,0.0,0.0,0
nb_2025-12-03#t1441w0,A2-fastdetect-tail,AI,AI,1.0,1.0,0
nb_2025-12-03#t1447w0,A5-tail-union,Human,Human,0.0,0.0,0
nb_2025-12-04#t1466w0,A7-speech-llr,AI,AI,1.0,1.0,0
nb_2025-12-04#t1473w0,B-decile-9,Human,Human,0.0,0.0,0
nb_2025-12-04#t1477w0,A3-fused,AI,AI,1.0,1.0,0
nb_2025-12-04#t1492w0,A5-tail-union,Human,Human,0.0,0.0,0
nb_2025-12-04#t1509w0,B-decile-3,Human,Human,0.0,0.0,0
nb_2025-12-04#t1516w1,A-consensus-2025,AI,AI,1.0,1.0,0
nb_2025-12-04#t1550w1,A5-tail-union,AI,AI,1.0,1.0,0
nb_2025-12-05#t1565w0,A7-speech-llr,Human,Human,0.0,0.0,0
nb_2025-12-05#t1574w0,A-consensus-2025,Human,AI,0.0,1.0,1
nb_2025-12-05#t1595w0,A2-fastdetect-tail,Human,Human,0.0,0.0,0
nb_2025-12-05#t1622w0,B-decile-3,Human,Human,0.0,0.0,0
nb_2025-12-05#t1622w1,A3-fused,Human,Human,0.0,0.0,0
nb_2025-12-09#t1625w0,A5-tail-union,AI,AI,1.0,1.0,0
nb_2025-12-09#t1632w0,A4-speaker,AI,AI,1.0,1.0,0
nb_2025-12-09#t1639w0,B-decile-9,AI,AI,1.0,1.0,0
nb_2025-12-09#t1640w0,B-decile-7,Human,Human,0.0,0.0,0
nb_2025-12-09#t1645w0,B-decile-5,Human,Human,0.0,0.0,0
nb_2025-12-09#t1692w1,B-decile-2,Human,Mixed,0.0,0.1812414973974228,1
nb_2025-12-09#t1701w0,B-decile-1,Human,Human,0.0,0.0,0
nb_2025-12-09#t1702w0,B-decile-9,Human,Human,0.0,0.0,0
nb_2025-12-09#t1719w0,A-consensus-2025,Human,Human,0.0,0.0,0
nb_2025-12-10#t1730w0,A6-lexicon,AI,AI,1.0,1.0,0
nb_2025-12-10#t1736w0,A5-tail-union,Human,Human,0.0,0.0,0
nb_2025-12-10#t1743w0,A-consensus-2025,AI,AI,1.0,1.0,0
nb_2025-12-10#t1744w0,A-consensus-2025,Human,Human,0.0,0.0,0
nb_2025-12-10#t1759w0,A5-tail-union,Human,Human,0.0,0.0,0
nb_2025-12-10#t1766w0,A3-fused,Human,Human,0.0,0.0,0
nb_2025-12-10#t1767w0,B-decile-7,Human,Human,0.0,0.0,0
nb_2025-12-10#t1773w0,A5-tail-union,Human,AI,0.0,1.0,1
nb_2025-12-10#t1783w0,A-consensus-2025,AI,AI,1.0,1.0,0
nb_2025-12-10#t1790w0,A5-tail-union,Human,Human,0.0,0.0,0
nb_2025-12-11#t1802w0,B-decile-7,Human,Mixed,0.0,0.5079908967018127,1
nb_2025-12-11#t1803w0,A5-tail-union,AI,Mixed,1.0,0.0,1
nb_2025-12-11#t1804w0,B-decile-8,Human,Human,0.0,0.0,0
nb_2025-12-11#t1806w0,B-decile-7,Human,Human,0.0,0.0,0
nb_2025-12-11#t1813w0,A4-speaker,Human,Human,0.0,0.0,0
nb_2025-12-11#t1816w0,B-decile-1,Human,Human,0.0,0.0,0
nb_2025-12-11#t1817w0,B-decile-1,Human,Human,0.0,0.0,0
nb_2025-12-11#t1822w0,B-decile-3,Human,Human,0.0,0.0,0
nb_2025-12-11#t1848w0,B-decile-9,Human,Human,0.0,0.0,0
nb_2025-12-11#t1859w0,A6-lexicon,AI,AI,1.0,1.0,0
