seg_id,date,speaker,section,n_words,orig_frac,n_tok,logppl,xppl,score
2025-10-22#t25w0,2025-10-22,Mr. Cullins,Affordability and housing,143,1.0,167,3.73717,3.43254,1.08875
2025-10-22#t26w0,2025-10-22,Mr. Mallet,Affordability and housing,120,0.0,148,3.03559,3.05548,0.99349
2025-10-22#t27w0,2025-10-22,Ms. S. Wilson,Affordability and housing,140,1.0,183,3.69337,3.80197,0.97143
2025-10-22#t28w0,2025-10-22,Mr. M. LeBlanc,Affordability and housing,56,1.0,68,3.30121,3.93047,0.8399
2025-10-22#t32w0,2025-10-22,Mr. Savoie,Affordability and housing,162,1.0,197,3.04281,3.45509,0.88068
2025-10-22#t33w0,2025-10-22,Hon. Ms. Holt,Affordability and housing,180,0.0,210,2.98555,3.21318,0.92916
2025-10-22#t34w0,2025-10-22,Mr. Savoie,Affordability and housing,192,1.0,229,3.10325,3.23858,0.95821
2025-10-22#t35w0,2025-10-22,Hon. Ms. Holt,Affordability and housing,188,0.968,223,3.1635,3.00118,1.05409
2025-10-22#t36w0,2025-10-22,Mr. Savoie,Affordability and housing,182,1.0,216,3.6667,3.31367,1.10654
2025-10-22#t37w0,2025-10-22,Hon. Ms. Holt,Affordability and housing,214,1.0,247,3.1866,3.07918,1.03488
2025-10-22#t38w0,2025-10-22,Mr. Savoie,Affordability and housing,186,1.0,227,3.7331,3.46867,1.07624
2025-10-22#t39w0,2025-10-22,Hon. Ms. Holt,Affordability and housing,192,0.719,230,3.09719,3.21864,0.96226
2025-10-22#t40w0,2025-10-22,Mr. Savoie,Affordability and housing,104,1.0,121,3.89768,3.69041,1.05616
2025-10-22#t41w0,2025-10-22,Hon. Ms. Holt,Affordability and housing,174,0.0,202,2.95533,3.14847,0.93866
2025-10-22#t42w0,2025-10-22,Mr. Savoie,Affordability and housing,160,1.0,187,3.58936,3.46349,1.03634
2025-10-22#t43w0,2025-10-22,Hon. Ms. Holt,Affordability and housing,176,1.0,194,3.18963,3.25759,0.97914
2025-10-22#t44w0,2025-10-22,Mr. Savoie,Affordability and housing,159,1.0,197,2.98609,3.21167,0.92976
2025-10-22#t45w0,2025-10-22,Hon. Ms. Holt,Affordability and housing,185,1.0,216,3.47114,3.29441,1.05365
2025-10-22#t46w0,2025-10-22,Mr. Savoie,Affordability and housing,108,1.0,126,3.54294,3.70915,0.95519
2025-10-22#t47w0,2025-10-22,Hon. C. Johnson,Affordability and housing,102,1.0,120,3.03354,3.31469,0.91518
2025-10-22#t48w0,2025-10-22,Mr. Savoie,Affordability and housing,169,1.0,205,3.1405,3.52643,0.89056
2025-10-22#t49w0,2025-10-22,Hon. C. Johnson,Affordability and housing,108,1.0,131,3.30655,3.27168,1.01066
2025-10-22#t50w0,2025-10-22,Mr. Savoie,Affordability and housing,136,1.0,152,3.4747,3.66443,0.94822
2025-10-22#t51w0,2025-10-22,L’hon. C. Johnson,Affordability and housing,135,0.0,153,2.6902,3.15357,0.85306
2025-10-22#t52w0,2025-10-22,Mr. Savoie,Affordability and housing,148,1.0,187,3.50329,3.30473,1.06008
2025-10-22#t53w0,2025-10-22,Hon. C. Johnson,Affordability and housing,143,1.0,178,3.28363,2.99181,1.09754
2025-10-22#t54w0,2025-10-22,Mr. Savoie,Affordability and housing,184,1.0,220,3.18667,3.51692,0.9061
2025-10-22#t55w0,2025-10-22,Hon. Ms. Holt,Affordability and housing,214,1.0,239,3.59002,3.58303,1.00195
2025-10-22#t56w0,2025-10-22,Mr. Savoie,Affordability and housing,174,1.0,206,3.43401,3.26706,1.0511
2025-10-22#t57w0,2025-10-22,Hon. C. Johnson,Affordability and housing,137,0.0,161,3.18512,3.44408,0.92481
2025-10-22#t58w0,2025-10-22,Mr. Savoie,Affordability and housing,102,1.0,124,2.86464,3.12182,0.91762
2025-10-22#t59w0,2025-10-22,Hon. C. Johnson,Affordability and housing,155,1.0,188,2.82045,2.80424,1.00578
2025-10-22#t60w0,2025-10-22,Mr. Coon,Affordability and housing,165,1.0,198,2.66782,2.90748,0.91757
2025-10-22#t61w0,2025-10-22,Hon. Mr. Dornan,Affordability and housing,111,1.0,127,3.35045,3.16117,1.05988
2025-10-22#t62w0,2025-10-22,Mr. Coon,Affordability and housing,127,0.0,150,3.19625,2.98192,1.07188
