seg_id,date,speaker,n_words,orig_frac,p_ai
2025-10-24#t111w0,2025-10-24,Hon. Ms. Boudreau,222,0.054,0.006033
2025-10-24#t112w0,2025-10-24,Ms. S. Wilson,156,1.0,0.000279
2025-10-24#t113w0,2025-10-24,Mr. Coon,176,0.869,0.000248
2025-10-24#t114w0,2025-10-24,Hon. Mr. D’Amours,157,0.0,0.000173
2025-10-24#t115w0,2025-10-24,Ms. Mitton,177,1.0,0.000368
2025-10-24#t116w0,2025-10-24,Mr. M. LeBlanc,176,0.0,0.000181
2025-10-24#t117w0,2025-10-24,Ms. M. Wilson,137,1.0,0.000246
2025-10-24#t118w0,2025-10-24,Ms. Mitton,142,1.0,0.000213
2025-10-24#t119w0,2025-10-24,Mr. Johnston,160,1.0,0.148213
2025-10-24#t120w0,2025-10-24,Mr. Monahan,126,1.0,0.049416
2025-10-24#t121w0,2025-10-24,Ms. Vautour,149,0.0,0.000547
2025-10-24#t122w0,2025-10-24,Mr. Ames,141,1.0,0.000211
2025-10-24#t123w0,2025-10-24,Mr. J. LeBlanc,124,0.403,0.000302
2025-10-24#t124w0,2025-10-24,Ms. M. Johnson,126,1.0,0.000259
2025-10-24#t125w0,2025-10-24,Mr. Robichaud,119,0.412,0.004266
2025-10-24#t126w0,2025-10-24,Mr. Lee,123,1.0,0.000179
2025-10-24#t127w0,2025-10-24,Mr. Savoie,79,0.899,0.003747
2025-10-24#t128w0,2025-10-24,Hon. Ms. Holt,166,0.964,0.000171
2025-10-24#t129w0,2025-10-24,Mr. Savoie,180,1.0,0.000184
2025-10-24#t130w0,2025-10-24,Hon. Ms. Holt,145,0.131,0.006873
2025-10-24#t131w0,2025-10-24,Mr. Savoie,77,1.0,0.001114
2025-10-24#t132w0,2025-10-24,Hon. Ms. Holt,133,1.0,0.042218
2025-10-24#t133w0,2025-10-24,Mr. Savoie,112,1.0,0.187024
2025-10-24#t134w0,2025-10-24,Hon. Ms. Holt,194,1.0,0.000169
2025-10-24#t135w0,2025-10-24,Mr. Savoie,77,1.0,0.0003
2025-10-24#t136w0,2025-10-24,Hon. Ms. Holt,158,0.0,0.995813
2025-10-24#t137w0,2025-10-24,Mr. Savoie,73,1.0,0.000219
2025-10-24#t138w0,2025-10-24,Hon. Mr. Dornan,143,1.0,0.001134
2025-10-24#t139w0,2025-10-24,Mr. Austin,132,1.0,0.002037
2025-10-24#t140w0,2025-10-24,Hon. Mr. Legacy,194,1.0,0.00017
2025-10-24#t141w0,2025-10-24,Mr. Austin,161,1.0,0.038534
2025-10-24#t142w0,2025-10-24,Hon. M. Legacy,92,0.0,0.002247
2025-10-24#t143w0,2025-10-24,Mr. Austin,186,1.0,0.000287
2025-10-24#t144w0,2025-10-24,Hon. Mr. Randall,102,1.0,0.995787
2025-10-24#t145w0,2025-10-24,Mr. Lee,163,1.0,0.000178
2025-10-24#t146w0,2025-10-24,Hon. C. Johnson,135,1.0,0.002833
2025-10-24#t147w0,2025-10-24,Mr. Lee,182,1.0,0.000179
2025-10-24#t148w0,2025-10-24,Hon. C. Johnson,84,1.0,0.045666
2025-10-24#t149w0,2025-10-24,Mr. Lee,154,1.0,0.000731
2025-10-24#t150w0,2025-10-24,Hon. C. Johnson,108,1.0,0.000194
2025-10-24#t151w0,2025-10-24,Mr. Monahan,180,1.0,0.00019
2025-10-24#t152w0,2025-10-24,Hon. Mr. Randall,174,1.0,0.000316
2025-10-24#t153w0,2025-10-24,Mr. Monahan,168,0.0,0.281774
2025-10-24#t154w0,2025-10-24,Hon. Mr. Legacy,121,0.0,0.951978
2025-10-24#t155w0,2025-10-24,Mr. Ames,89,1.0,0.264478
2025-10-24#t156w0,2025-10-24,Hon. Mr. Gauvin,198,0.0,0.000201
2025-10-24#t157w0,2025-10-24,Mr. Ames,82,1.0,0.702935
2025-10-24#t158w0,2025-10-24,Hon. Mr. Gauvin,217,0.0,0.000714
2025-10-24#t159w0,2025-10-24,Mr. Ames,55,1.0,0.823757
2025-10-24#t160w0,2025-10-24,Hon. Mr. Gauvin,127,0.0,0.004582
2025-10-24#t161w0,2025-10-24,Madam Speaker,144,0.958,0.002063
2025-10-24#t162w0,2025-10-24,Hon. Mr. Legacy,206,0.073,0.43002
2025-10-24#t163w0,2025-10-24,Mr. Monahan,257,1.0,0.000186
2025-10-24#t164w0,2025-10-24,Mr. Coon,226,1.0,0.000259
2025-10-24#t165w0,2025-10-24,Hon. Ms. Boudreau,184,0.451,0.000556
2025-10-24#t166w0,2025-10-24,Ms. M. Johnson,296,1.0,0.000889
2025-10-24#t167w0,2025-10-24,Ms. Mitton,327,0.327,0.000261
2025-10-24#t168w0,2025-10-24,Ms. M. Wilson,157,1.0,0.000172
2025-10-24#t169w0,2025-10-24,Ms. Mitton,132,0.0,0.003613
2025-10-24#t170w0,2025-10-24,Ms. Conroy,276,1.0,0.000175
2025-10-24#t171w0,2025-10-24,Mr. M. LeBlanc,359,0.618,0.000183
2025-10-24#t171w1,2025-10-24,Mr. M. LeBlanc,274,0.938,0.000191
2025-10-24#t171w2,2025-10-24,Mr. M. LeBlanc,346,0.962,0.000609
2025-10-24#t171w3,2025-10-24,Mr. M. LeBlanc,345,0.82,0.00025
2025-10-24#t171w4,2025-10-24,Mr. M. LeBlanc,348,0.989,0.001495
2025-10-24#t172w0,2025-10-24,Mr. Savoie,323,1.0,0.000274
2025-10-24#t172w1,2025-10-24,Mr. Savoie,289,1.0,0.00022
2025-10-24#t174w0,2025-10-24,Mr. Savoie,251,1.0,0.000193
2025-10-24#t174w1,2025-10-24,Mr. Savoie,322,1.0,0.000171
2025-10-24#t174w2,2025-10-24,Mr. Savoie,317,1.0,0.000197
2025-10-24#t175w0,2025-10-24,Mr. Coon,319,1.0,0.000212
2025-10-24#t175w1,2025-10-24,Mr. Coon,306,1.0,0.000172
2025-10-24#t175w2,2025-10-24,Mr. Coon,335,1.0,0.000229
2025-10-24#t175w3,2025-10-24,Mr. Coon,251,1.0,0.045568
2025-10-24#t175w4,2025-10-24,Mr. Coon,345,1.0,0.000181
2025-10-24#t175w5,2025-10-24,Mr. Coon,341,1.0,0.000267
2025-10-24#t175w6,2025-10-24,Mr. Coon,221,1.0,0.005701
2025-10-24#t176w0,2025-10-24,Ms. Mitton,358,0.989,0.012618
2025-10-24#t176w1,2025-10-24,Ms. Mitton,239,1.0,0.053232
2025-10-24#t176w2,2025-10-24,Ms. Mitton,358,0.732,0.00226
2025-10-24#t176w3,2025-10-24,Ms. Mitton,285,0.582,0.000234
2025-10-24#t177w0,2025-10-24,Ms. Scott-Wallace,325,1.0,0.000303
2025-10-24#t177w1,2025-10-24,Ms. Scott-Wallace,299,1.0,0.000226
2025-10-24#t178w0,2025-10-24,Ms. Mitton,300,0.747,0.000208
2025-10-24#t178w1,2025-10-24,Ms. Mitton,329,0.988,0.000331
2025-10-24#t179w0,2025-10-24,Mr. Russell,268,1.0,0.00025
2025-10-24#t179w1,2025-10-24,Mr. Russell,356,0.764,0.000325
2025-10-24#t179w2,2025-10-24,Mr. Russell,348,1.0,0.000225
2025-10-24#t179w3,2025-10-24,Mr. Russell,184,0.978,0.000203
2025-10-24#t180w0,2025-10-24,Madam Speaker,299,0.91,0.00027
2025-10-24#t180w1,2025-10-24,Madam Speaker,300,1.0,0.00018
2025-10-24#t180w2,2025-10-24,Madam Speaker,290,0.828,0.000184
2025-10-24#t180w3,2025-10-24,Madam Speaker,325,0.8,0.000173
2025-10-24#t180w4,2025-10-24,Madam Speaker,287,1.0,0.000298
2025-10-24#t180w5,2025-10-24,Madam Speaker,251,1.0,0.000256
2025-10-24#t180w6,2025-10-24,Madam Speaker,352,1.0,0.000384
2025-10-24#t180w7,2025-10-24,Madam Speaker,332,0.828,0.000169
2025-10-24#t180w8,2025-10-24,Madam Speaker,346,1.0,0.003772
2025-10-24#t180w9,2025-10-24,Madam Speaker,322,1.0,0.000179
2025-10-24#t180w10,2025-10-24,Madam Speaker,286,1.0,0.000171
2025-10-24#t180w11,2025-10-24,Madam Speaker,336,0.81,0.000215
2025-10-24#t180w12,2025-10-24,Madam Speaker,226,0.783,0.000197
2025-10-24#t180w13,2025-10-24,Madam Speaker,321,1.0,0.000685
2025-10-24#t180w14,2025-10-24,Madam Speaker,330,0.855,0.000744
2025-10-24#t180w15,2025-10-24,Madam Speaker,216,0.81,0.000244
2025-10-24#t180w16,2025-10-24,Madam Speaker,292,0.89,0.0002
2025-10-24#t180w17,2025-10-24,Madam Speaker,168,0.958,0.125135
2025-10-24#t182w0,2025-10-24,Hon. Mr. Dornan,251,0.92,0.000965
2025-10-24#t182w1,2025-10-24,Hon. Mr. Dornan,352,0.881,0.007451
2025-10-24#t182w2,2025-10-24,Hon. Mr. Dornan,350,0.914,0.000171
2025-10-24#t182w3,2025-10-24,Hon. Mr. Dornan,303,0.931,0.000208
2025-10-24#t182w4,2025-10-24,Hon. Mr. Dornan,283,0.958,0.000425
2025-10-24#t182w5,2025-10-24,Hon. Mr. Dornan,230,0.939,0.000213
2025-10-24#t186w0,2025-10-24,Mr. Russell,284,1.0,0.000176
2025-10-24#t186w1,2025-10-24,Mr. Russell,338,1.0,0.000184
2025-10-24#t186w2,2025-10-24,Mr. Russell,305,1.0,0.000181
2025-10-24#t186w3,2025-10-24,Mr. Russell,270,1.0,0.0002
2025-10-24#t188w0,2025-10-24,Hon. Mr. Hickey,347,1.0,0.000418
2025-10-24#t188w1,2025-10-24,Hon. Mr. Hickey,347,1.0,0.000185
2025-10-24#t188w2,2025-10-24,Hon. Mr. Hickey,282,1.0,0.986868
2025-10-24#t188w3,2025-10-24,Hon. Mr. Hickey,334,1.0,0.002211
2025-10-24#t188w4,2025-10-24,Hon. Mr. Hickey,359,0.88,0.000169
2025-10-24#t188w5,2025-10-24,Hon. Mr. Hickey,217,1.0,0.000322
2025-10-24#t188w6,2025-10-24,Hon. Mr. Hickey,326,1.0,0.000616
2025-10-24#t188w7,2025-10-24,Hon. Mr. Hickey,257,0.887,0.029431
2025-10-24#t188w8,2025-10-24,Hon. Mr. Hickey,354,1.0,0.000216
2025-10-24#t188w9,2025-10-24,Hon. Mr. Hickey,343,0.898,0.000243
2025-10-24#t188w10,2025-10-24,Hon. Mr. Hickey,50,1.0,0.012638
2025-10-24#t189w0,2025-10-24,Hon. Mr. Hickey,279,1.0,0.48109
2025-10-24#t189w1,2025-10-24,Hon. Mr. Hickey,157,1.0,0.000525
2025-10-24#t189w2,2025-10-24,Hon. Mr. Hickey,283,1.0,0.061567
2025-10-24#t189w3,2025-10-24,Hon. Mr. Hickey,325,1.0,0.001672
2025-10-24#t189w4,2025-10-24,Hon. Mr. Hickey,236,1.0,0.001782
2025-10-24#t191w0,2025-10-24,Mr. Monahan,349,1.0,0.000231
2025-10-24#t191w1,2025-10-24,Mr. Monahan,327,0.654,0.00017
2025-10-24#t191w2,2025-10-24,Mr. Monahan,322,0.683,0.000264
2025-10-24#t191w3,2025-10-24,Mr. Monahan,326,1.0,0.000241
2025-10-24#t191w4,2025-10-24,Mr. Monahan,338,1.0,0.000293
2025-10-24#t191w5,2025-10-24,Mr. Monahan,291,0.34,0.000431
2025-10-24#t191w6,2025-10-24,Mr. Monahan,120,1.0,0.00017
2025-10-24#t192w0,2025-10-24,Mr. Monahan,288,1.0,0.000277
