seg_id,date,speaker,section,n_words,orig_frac,n_tok,logppl,xppl,score
2025-10-22#t32w0,2025-10-22,Mr. Savoie,Affordability and housing,162,1.0,202,2.50307,2.6482,0.9452
2025-10-22#t33w0,2025-10-22,Hon. Ms. Holt,Affordability and housing,180,0.0,211,2.49156,2.73122,0.91226
2025-10-22#t34w0,2025-10-22,Mr. Savoie,Affordability and housing,192,1.0,233,2.40539,2.4799,0.96995
2025-10-22#t35w0,2025-10-22,Hon. Ms. Holt,Affordability and housing,188,0.968,225,2.5346,2.35333,1.07702
2025-10-22#t36w0,2025-10-22,Mr. Savoie,Affordability and housing,182,1.0,220,2.76158,2.61212,1.05722
2025-10-22#t37w0,2025-10-22,Hon. Ms. Holt,Affordability and housing,214,1.0,252,2.52437,2.52532,0.99962
2025-10-22#t38w0,2025-10-22,Mr. Savoie,Affordability and housing,186,1.0,231,2.91496,2.66121,1.09535
2025-10-22#t39w0,2025-10-22,Hon. Ms. Holt,Affordability and housing,192,0.719,233,2.63237,2.58156,1.01968
2025-10-22#t40w0,2025-10-22,Mr. Savoie,Affordability and housing,104,1.0,123,2.87148,2.83744,1.012
2025-10-22#t41w0,2025-10-22,Hon. Ms. Holt,Affordability and housing,174,0.0,204,2.49072,2.57332,0.9679
2025-10-22#t42w0,2025-10-22,Mr. Savoie,Affordability and housing,160,1.0,190,3.08645,2.8866,1.06923
2025-10-22#t43w0,2025-10-22,Hon. Ms. Holt,Affordability and housing,176,1.0,196,2.5924,2.58142,1.00425
2025-10-22#t44w0,2025-10-22,Mr. Savoie,Affordability and housing,159,1.0,204,2.35373,2.4846,0.94733
2025-10-22#t45w0,2025-10-22,Hon. Ms. Holt,Affordability and housing,185,1.0,220,2.73685,2.72196,1.00547
2025-10-22#t46w0,2025-10-22,Mr. Savoie,Affordability and housing,108,1.0,126,2.75783,2.7238,1.0125
2025-10-22#t47w0,2025-10-22,Hon. C. Johnson,Affordability and housing,102,1.0,122,2.51141,2.73947,0.91675
2025-10-22#t48w0,2025-10-22,Mr. Savoie,Affordability and housing,169,1.0,209,2.62385,2.74402,0.9562
