seg_id,date,speaker,n_words,orig_frac,n_tok,logppl,fastdetect_d,lrr
2025-10-24#t169w0,2025-10-24,Ms. Mitton,132,0.0,172,2.38699,0.86371,2.07992
2025-10-24#t170w0,2025-10-24,Ms. Conroy,276,1.0,339,2.38416,1.094,2.06654
2025-10-24#t171w0,2025-10-24,Mr. M. LeBlanc,359,0.618,443,2.41563,0.03704,2.0475
2025-10-24#t171w1,2025-10-24,Mr. M. LeBlanc,274,0.938,322,2.62785,0.6255,1.95789
2025-10-24#t171w2,2025-10-24,Mr. M. LeBlanc,346,0.962,400,2.33901,0.68702,2.12841
2025-10-24#t171w3,2025-10-24,Mr. M. LeBlanc,345,0.82,390,2.38376,0.88033,2.05587
2025-10-24#t171w4,2025-10-24,Mr. M. LeBlanc,348,0.989,403,2.22705,1.66251,2.11132
2025-10-24#t172w0,2025-10-24,Mr. Savoie,323,1.0,391,2.61513,-0.37565,2.09262
2025-10-24#t172w1,2025-10-24,Mr. Savoie,289,1.0,370,2.64012,-0.04342,2.109
2025-10-24#t174w0,2025-10-24,Mr. Savoie,251,1.0,312,2.77655,0.10798,2.01951
2025-10-24#t174w1,2025-10-24,Mr. Savoie,322,1.0,401,2.60843,-0.93969,2.00141
2025-10-24#t174w2,2025-10-24,Mr. Savoie,317,1.0,386,2.52156,0.45579,2.02678
2025-10-24#t175w0,2025-10-24,Mr. Coon,319,1.0,381,2.32702,0.81657,2.07603
2025-10-24#t175w1,2025-10-24,Mr. Coon,306,1.0,379,2.25552,1.3115,2.08268
2025-10-24#t175w2,2025-10-24,Mr. Coon,335,1.0,409,2.4947,-0.024,1.98746
2025-10-24#t175w3,2025-10-24,Mr. Coon,251,1.0,307,2.45846,2.75183,2.04742
2025-10-24#t175w4,2025-10-24,Mr. Coon,345,1.0,409,2.62372,1.05965,2.02876
2025-10-24#t175w5,2025-10-24,Mr. Coon,341,1.0,419,2.77577,-0.54947,1.97794
2025-10-24#t175w6,2025-10-24,Mr. Coon,221,1.0,260,2.54015,1.49978,1.98301
2025-10-24#t176w0,2025-10-24,Ms. Mitton,358,0.989,402,2.1707,1.40188,2.16029
2025-10-24#t176w1,2025-10-24,Ms. Mitton,239,1.0,287,2.57925,1.44484,2.01111
2025-10-24#t176w2,2025-10-24,Ms. Mitton,358,0.732,426,2.43669,-0.36006,2.04497
